Reporting Organization,Operating Unit,Activity Name,Activity Code,Indicator Code,Indicator Origin,Disaggregate Country,Disaggregate Commodity,UDN,Disaggregate Code,Disaggregate Name,Fiscal Year,Collection Period Name,Collection Review Status,Initiative Review Status,Target,Actual,Deviation,Deviation Narrative,Is Disaggregate Blank,Collection Period Comments
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.5,3.3.5,People in USG-assisted private sector firms,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.6,3.3.6,People in civil society,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.7,3.3.7,Laborers (Non-producer diversified livelihoods participants),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.8,3.3.8,Producer: Smallholder farmer,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.9,3.3.9,Producer: Non-smallholder farmer,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.10,3.3.10,Producer: Aquaculture,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.11,3.3.11,Producer: size Disaggregate Not Available,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.12,3.3.12,Type of individual Not Applicable,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.13,3.3.13,Type of Individual Disaggregates Not Available,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,-,N,-
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1,3.1,Sex of individuals participating (no double counting),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1.1,3.1.1,Male,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1.2,3.1.2,Female,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1.3,3.1.3,Not Applicable (for household members counted from HH-level interventions),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1.4,3.1.4,Disaggregates Not Available,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.1.5,3.1.5,Neither,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2,3.2,Age Category of individuals participating (no double counting),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2.1,3.2.1,"School-aged children (only for total reached by USG school feeding programs, regardless of actual age)",2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2.2,3.2.2,15-29,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2.3,3.2.3,30+,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2.4,3.2.4,Not Applicable (for household members counted from HH-level interventions),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.2.5,3.2.5,Disaggregates Not Available,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3,3.3,Type of individuals participating (double-counting allowed),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.1,3.3.1,Parents/caregivers,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.2,3.3.2,Household members (household-level interventions only),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.3,3.3.3,School-aged children (only for USG school feeding programs),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.4,3.3.4,People in government,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.5,3.3.5,People in USG-assisted private sector firms,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.6,3.3.6,People in civil society,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.7,3.3.7,Laborers (Non-producer diversified livelihoods participants),2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.8,3.3.8,Producer: Smallholder farmer,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.9,3.3.9,Producer: Non-smallholder farmer,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.10,3.3.10,Producer: Aquaculture,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.11,3.3.11,Producer: size Disaggregate Not Available,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.12,3.3.12,Type of individual Not Applicable,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS318: CA: Cereal System Initiative South Asia (CSISA) Phase III,00001979,EG.3-2,FTF,_Multi-region/Global,-,3.3.13,3.3.13,Type of Individual Disaggregates Not Available,2023,FY2023-Qtr1,DE Not Started,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,-,N,-
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1,3.1,Sex of individuals participating (no double counting),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1.1,3.1.1,Male,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1.2,3.1.2,Female,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1.3,3.1.3,Not Applicable (for household members counted from HH-level interventions),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1.4,3.1.4,Disaggregates Not Available,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.1.5,3.1.5,Neither,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2,3.2,Age Category of individuals participating (no double counting),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2.1,3.2.1,"School-aged children (only for total reached by USG school feeding programs, regardless of actual age)",2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2.2,3.2.2,15-29,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2.3,3.2.3,30+,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2.4,3.2.4,Not Applicable (for household members counted from HH-level interventions),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.2.5,3.2.5,Disaggregates Not Available,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3,3.3,Type of individuals participating (double-counting allowed),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.1,3.3.1,Parents/caregivers,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.2,3.3.2,Household members (household-level interventions only),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.3,3.3.3,School-aged children (only for USG school feeding programs),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.4,3.3.4,People in government,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.5,3.3.5,People in USG-assisted private sector firms,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.6,3.3.6,People in civil society,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.7,3.3.7,Laborers (Non-producer diversified livelihoods participants),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.8,3.3.8,Producer: Smallholder farmer,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.9,3.3.9,Producer: Non-smallholder farmer,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.10,3.3.10,Producer: Aquaculture,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.11,3.3.11,Producer: size Disaggregate Not Available,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.12,3.3.12,Type of individual Not Applicable,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),BFS-16-001: CA: AGG - Stress Tolerant Maize for Africa (AGG - STMA),00002012,EG.3-2,FTF,_Multi-country: Africa (sub-Saharan),-,3.3.13,3.3.13,Type of Individual Disaggregates Not Available,2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2023,FY2023-Qtr1,DE In-Progress,Not Ready,875,"1,091",24.69%,"In FY23, the Support Contract hosted four public meetings (three virtual and one hybrid) and three other events. This was a higher than expected number of events, leading to increased participation.",N,-
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2023,FY2023-Qtr2,DE In-Progress,Not Ready,-,-,-,"In FY23, the Support Contract hosted four public meetings (three virtual and one hybrid) and three other events. This was a higher than expected number of events, leading to increased participation.",N,-
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,"In FY23, the Support Contract hosted four public meetings (three virtual and one hybrid) and three other events. This was a higher than expected number of events, leading to increased participation.",N,-
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3.1,3.1,Sex of individuals participating (no double counting),2023,FY2023-Qtr1,DE In-Progress,Not Ready,875,"1,091",24.69%,,N,
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3.1,3.1,Sex of individuals participating (no double counting),2023,FY2023-Qtr2,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3.1,3.1,Sex of individuals participating (no double counting),2024,FY2024-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3.1.1,3.1.1,Male,2023,FY2023-Qtr1,DE In-Progress,Not Ready,437,164,-62.47%,,N,
USAID,Bureau for Resilience and Food Security (RFS),Board for International Food and Agricultural Development (BIFAD) Support Contract,00002106,EG.3-2,FTF,_Multi-region/Global,-,3.1.1,3.1.1,Male,2023,FY2023-Qtr2,DE In-Progress,Not Ready,-,-,-,,Y,
